Timestamp,Type,Company,Role,Monthly/Annual Salary (Specify if not SGD),Total Stocks (Specify if not SGD),Sign On (Specify if not SGD),Annual Total Compensation (Specify if not SGD),Target Annual Bonus,Extra Information
11/10/2021 10:07:32,Fresh Grad,ShopBack,Software Engineer,7000,"50000 vested over 3 years (non-standard vesting, see info below)","1.5 months of base pay -- $10,500 after completing 3 months probation",(not sure how to calculate due to one-time bonus and non-linear vesting),Variable 1 to 4 months bonus based on performance,"Pay seems to be interview performance-based. i.e. I was told I did well in the interview.\nNon-linear vesting:\n- End of 2nd year - up to 25%\n- End of 2.5 years - up to 50%\n- End of 3 years - All 100%"
11/10/2021 10:07:57,Fresh Grad,Shopee,Software Engineer,7500,140000,,,2 months,I felt that my interview performance was very average. Was not able to do one of the algorithm question during the phone screen and could not answer some domain specific knowledge base question during the final round. I think my competing offer really helped a lot with the final compensation.
11/10/2021 10:13:07,Internship,Shopee,Software Engineer,4200,,,,,
11/10/2021 10:27:08,Fresh Grad,Facebook,Software Engineer,9333,50000 USD over 4 years,10000,,10%,"20 days of PTO, 14 sick days and $3000 of wellness benefits"
11/10/2021 11:14:18,Fresh Grad,Facebook,Software Engineer,9333,50000 USD over 4 years,10000,138200 without considering refreshers,10%,"Facebook / Meta has stacking refreshers (adjusted to location), and multipliers on these  ranging from 0.85x - 3x based on performance"
11/10/2021 11:28:54,Internship,ByteDance,Software Engineer,4000,,,,,
11/10/2021 11:32:24,Internship,Apple,Software Engineer,3300,,,,,
11/10/2021 11:35:33,Internship,Shopee,Systems QA,1200,,,,,
11/10/2021 11:42:26,Internship,AlphaLab Capital,Software Engineer,5000,,,,,"for interns, WFH (hybrid) regardless of COVID, $15 lunch allowance per day"
11/10/2021 12:01:57,Internship,Open Government Products,Software Engineer,3000,,,,,
11/10/2021 12:02:27,Internship,Shopee,Data Analyst,2000,,,,,
11/10/2021 12:03:20,Internship,Razer,Software Engineer,1000,,,,,
11/10/2021 12:04:29,Internship,Stripe,Software Engineer,6000,,,,,2250 housing stipend
11/10/2021 12:04:53,Internship,Goldman Sachs,Software Engineer,5750,,,,,
11/10/2021 12:13:09,Internship,Shopee,Software Engineer,4200,,,,,
11/10/2021 12:13:23,Internship,GovTech,Software Engineer,2000,,,,,
11/10/2021 12:22:00,Internship,Google,Software Engineer,5500,,,,,
11/10/2021 12:46:02,Fresh Grad,Goldman Sachs,Software Engineer,6250,0,0,75000,not sure,Employer CPF contribution will be reimbursed as cash for non-SC/PRs. Non-nego.
11/10/2021 12:49:53,Fresh Grad,Shopee,Software Engineer,7500,140000,0,"140,000",2 months (up to 3),
11/10/2021 12:54:17,Internship,Shopee,Software Engineer,4200,,,,,
11/10/2021 12:55:13,Internship,Jump Trading,TechOps,11000,,,,,Free lunch
11/10/2021 12:55:42,Internship,Goldman Sachs,Software Engineer,5750,,,,,
11/10/2021 12:57:25,Internship,Tiktok,Software Engineer,3700,,,,,
11/10/2021 12:57:34,Fresh Grad,Shopee,Software Engineer,8000,112000,10000,140000,2 months bonus,
11/10/2021 12:58:07,Internship,Facebook,Software Engineer,6000,,,,,2000 housing stipend
11/10/2021 12:58:52,Internship,CitiBank,Software Engineer,3000,,,,,
11/10/2021 12:59:10,Internship,Grasshopper,Software Engineer,1200,,,,,
11/10/2021 12:59:32,Internship,IBM,Software Engineer,1200,,,,,
11/10/2021 12:59:43,Fresh Grad,Ninja Van,Software Engineer,5500,,,,,Was told by recruiter during engagement call that it’s standard (meaning non-nego?) for new grad
11/10/2021 12:59:44,Internship,Visa,Software Engineer,2500,,,,,
11/10/2021 13:00:27,Internship,ByteDance,Data Engineer,4000,,,,,
11/10/2021 13:01:17,Internship,NCS,Software Engineer,1700,,,,,
11/10/2021 13:01:49,Internship,Creative,Software Engineer,1800,,,,,
11/10/2021 13:02:47,Internship,Thales,Software Engineer,2000,,,,,
11/10/2021 13:05:02,Internship,GovTech,Software Engineer,2000,,,,,
11/10/2021 13:06:56,Internship,Cloudflare,Software Engineer,2000,,,,,
11/10/2021 13:07:53,Internship,Shopee,Data Science,4200,,,,,
11/10/2021 13:08:19,Internship,ByteDance,Machine Learning Engineer,4000,,,,,Permanent hybrid
11/10/2021 13:09:38,Internship,Google,Software Engineer,5400,,,,,
11/10/2021 13:11:05,Internship,Zendesk,Software Engineer,2500,,,,,
11/10/2021 13:15:50,Internship,JPMorgan,Software Engineer,5883,,,,,
11/10/2021 13:15:54,Internship,Bank of America,Software Engineer,5667,,,,,
11/10/2021 13:17:16,Internship,99.co,Software Engineer,1000,,,,,
11/10/2021 13:18:10,Internship,Garena,Software Engineer,3000,,,,,
11/10/2021 13:18:24,Internship,GIC ,Data Analyst,2500,,,,,
11/10/2021 13:19:02,Internship,ComfortDelGro,Business Analyst,900,,,,,
11/10/2021 13:19:34,Internship,KPMG,Software Engineer,850,,,,,most pog company on this list
11/10/2021 13:22:13,Internship,Autodesk,Software Engineer,1800,,,,,
11/10/2021 13:25:01,Fresh Grad,Shopee,Software Engineer,12000,,,,,- Returning Offer
11/10/2021 13:25:08,Fresh Grad,Indeed,Software Engineer,7900,50000,10000,107500,10%,
11/10/2021 13:25:57,Internship,DHL,Software Engineer,1200,,,,,
11/10/2021 13:26:55,Internship,Yara,Software Engineer,1120,,,,,Singapore Office
11/10/2021 13:28:30,Internship,Morgan Stanley,Software Engineer,5000,,,6000,,
11/10/2021 13:29:59,Internship,ByteDance,Software Engineer,4000,,,,,
11/10/2021 13:31:28,Internship,Visa,Software Engineer,2200,,,,,
11/10/2021 13:31:35,Fresh Grad,Constructor,Software Engineer,12500,,,150000,2 months,
11/10/2021 13:32:19,Internship,TikTok,Software Engineer,4830,,,,,
11/10/2021 13:33:29,Internship,AlphaLab Capital,Software Engineer,5000,,,,,
11/10/2021 13:34:09,Internship,Grab,Software Engineer,2500,,,,,
